subject,used,n_pos_edges,mean_w,max_w,note
HCD0551946,True,8270.0,0.013989044681997808,0.9788599610328674,
HCD2714655,True,8502.0,0.02543211705965727,1.0327786207199097,
HCD1184950,True,8944.0,0.01772215424620253,0.8774690628051758,
HCD2001517,True,11657.0,0.026015901752256224,0.9893815517425537,
HCD0534138,True,9611.0,0.02375064474340409,0.9114246368408203,
HCD1491252,True,9128.0,0.024258258211097075,0.9926295876502991,
HCD1886275,True,10936.0,0.027657226521400177,1.0927468538284302,
HCD1490048,True,9684.0,0.029264823352902463,0.9322527647018433,
HCD2904862,True,10043.0,0.01881779177732307,0.8622773289680481,
HCD1111822,True,7725.0,0.029152271108439647,0.9123246073722839,
HCD0515538,True,8720.0,0.02735780606530199,0.8594925403594971,
HCD0686666,True,11697.0,0.023893883272886562,0.9253658652305603,
HCD1945164,True,9929.0,0.01718026158893958,0.8629172444343567,
HCD0980262,True,13035.0,0.015646068576207584,0.892974317073822,
HCD0719352,True,12277.0,0.019819357785774767,0.9932843446731567,
HCD1658565,True,10108.0,0.020195087480009987,0.992405116558075,
HCD1946469,True,9732.0,0.026154876595075385,0.9451890587806702,
HCD1646154,True,11084.0,0.02127321077829231,0.8914608955383301,
HCD0796067,True,9572.0,0.01981589549108947,0.9138394594192505,
HCD1612238,True,10010.0,0.024126400116883093,0.8271691799163818,
HCD2812352,True,10366.0,0.018051787940844756,0.992598831653595,
HCD0664656,True,8536.0,0.024836363000323467,0.8306209444999695,
HCD1458153,True,8733.0,0.022676218390758052,0.8681427240371704,
HCD1886477,True,10062.0,0.018190970886826346,0.8290101289749146,
HCD0119429,True,8773.0,0.020842251273620434,1.0366641283035278,
HCD0353538,True,12498.0,0.02288271343620475,0.9020611643791199,
HCD2400026,True,10052.0,0.02224527415894784,0.9860413670539856,
HCD1871969,True,10567.0,0.026865840782996753,0.9303961992263794,
HCD2156142,True,10801.0,0.02301906537798225,0.9412694573402405,
HCD2524751,True,11097.0,0.024205305132689002,0.8796634078025818,
HCD0236130,True,9797.0,0.02303874092509288,0.9461151361465454,
HCD0486254,True,7308.0,0.025989069301617602,1.0326189994812012,
HCD0605135,True,10971.0,0.02524719207467511,1.0722310543060303,
HCD0667763,True,10775.0,0.021198864856917705,0.8422690629959106,
HCD2932665,True,11322.0,0.029494510316431136,0.9660570621490479,
HCD2913459,False,,,,no_file_or_bad_shape
HCD2008329,True,10696.0,0.029804099661806912,1.0128265619277954,
HCD2301428,True,8925.0,0.02517151364272014,0.9940608143806458,
HCD1950056,True,11105.0,0.020717768890291838,1.1023147106170654,
HCD2976382,True,12036.0,0.02212100851988703,0.9064756035804749,
HCD0393550,True,12969.0,0.020483497046508193,1.0328948497772217,
HCD0536142,True,10950.0,0.0211715936169076,0.8747566342353821,
HCD0869371,True,11454.0,0.02118558178191237,0.9223567843437195,
HCD0069238,True,8799.0,0.02418845541213878,0.8929373621940613,
HCD0259546,True,10567.0,0.022922714183771266,1.0348316431045532,
HCD2496570,True,8955.0,0.024177496247471206,0.9032614827156067,
HCD1400728,True,9514.0,0.023053497178575282,0.9745160341262817,
HCD0476352,True,10437.0,0.024800911363019026,0.8241533041000366,
HCD2901654,True,9733.0,0.01965853932375997,1.002885341644287,
HCD1992375,True,9385.0,0.02388592654144354,0.9372624754905701,
HCD1622342,True,10361.0,0.02407836238947105,0.9411499500274658,
HCD2731049,True,12725.0,0.019480148139604157,0.8682030439376831,
HCD2855875,True,8869.0,0.029385644894358003,1.102560043334961,
HCD0505838,True,10518.0,0.021970065323039193,0.8688520789146423,
HCD0641341,True,9751.0,0.02308213713937624,0.9416528940200806,
HCD0174235,True,10982.0,0.025482500274795466,1.0035239458084106,
HCD0128935,True,9962.0,0.020404848698945693,0.8290006518363953,
HCD1785572,True,12844.0,0.022380242033592946,1.0490143299102783,
HCD2063034,True,10736.0,0.023062838325609295,0.9327399134635925,
HCD0041822,True,11763.0,0.015630833395023642,0.8743065595626831,
HCD1630139,True,11326.0,0.024626353846388345,0.8743501901626587,
HCD1714852,True,16531.0,0.011175447748019256,0.9155572652816772,
HCD2140127,True,11083.0,0.01805821838853108,0.864598274230957,
HCD1346849,True,9607.0,0.027399118847056765,0.9643474817276001,
HCD1504437,True,10988.0,0.021858855530363593,0.8874073624610901,
HCD1633751,True,12097.0,0.01812958279114531,0.828993022441864,
HCD1994884,True,9443.0,0.025770633767186257,0.9285675883293152,
HCD2400632,True,9232.0,0.02401904941999518,0.8664438724517822,
HCD1203928,True,8165.0,0.027030296175372323,0.8306090235710144,
HCD0808654,True,11729.0,0.026961493605373477,1.0257681608200073,
HCD1886881,True,10398.0,0.024979402850405803,0.9369085431098938,
